File Name,20240122_162754_CT029692_20220214.pcrd,,,,
Created By User,,,,,
Notes,,,,,
ID,,,,,
Run Started,01/23/2024 00:28:07 UTC,,,,
Run Ended,01/23/2024 03:34:05 UTC,,,,
Sample Vol,25,,,,
Lid Temp,105,,,,
Protocol File Name,Unknown.prcl,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,
Base Serial Number,CT029692,,,,
Optical Head Serial Number,785BR17446,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,
,,,,,
Well group,All Wells,,,,
Amplification step,4,,,,
Melt step,8,,,,
,,,,,
,,,,,
Well,Fluor,Target,Content,Sample,Cq
C11,SYBR,GAPDH,Unkn,Pool5_5%,22.7496212537471
C12,SYBR,GAPDH,Unkn,Pool5_5%,22.6638490207327
D01,SYBR,Sox10,Unkn,Pool5_2.5%,27.2846182758906
D02,SYBR,Sox10,Unkn,Pool5_2.5%,27.4011937989979
D03,SYBR,Sox10,Unkn,Pool5_2.5%,27.4024974964326
D04,SYBR,FoxD3,Unkn,Pool5_2.5%,28.0118165957764
D05,SYBR,FoxD3,Unkn,Pool5_2.5%,27.9134675034278
D06,SYBR,FoxD3,Unkn,Pool5_2.5%,28.1873389073089
D07,SYBR,Snai2,Unkn,Pool5_2.5%,33.3998690858654
D08,SYBR,Snai2,Unkn,Pool5_2.5%,33.3264110542594
D09,SYBR,Snai2,Unkn,Pool5_2.5%,29.7185098597049
D10,SYBR,GAPDH,Unkn,Pool5_2.5%,22.2268414847241
D11,SYBR,GAPDH,Unkn,Pool5_2.5%,22.2155288770038
D12,SYBR,GAPDH,Unkn,Pool5_2.5%,21.76207137197
E01,SYBR,Sox10,NTC,Pool5_NTC,44.0416868390526
E02,SYBR,Sox10,NTC,Pool5_NTC,39.9340741316177
E03,SYBR,Sox10,NTC,Pool5_NTC,NaN
E04,SYBR,FoxD3,NTC,Pool5_NTC,30.9119548193666
E05,SYBR,FoxD3,NTC,Pool5_NTC,NaN
E06,SYBR,FoxD3,NTC,Pool5_NTC,37.6692365355421
E07,SYBR,Snai2,NTC,Pool5_NTC,32.1087363642731
E08,SYBR,Snai2,NTC,Pool5_NTC,40.1619810370716
E09,SYBR,Snai2,NTC,Pool5_NTC,36.5468676464813
E10,SYBR,GAPDH,NTC,Pool5_NTC,39.6620832127204
E11,SYBR,GAPDH,NTC,Pool5_NTC,33.6647205175875
E12,SYBR,GAPDH,NTC,Pool5_NTC,40.0775262487362
